"","language_id","term_id","term","term_abbreviation","language_name","language_location","continent","field_worker_1","field_worker_2","field_worker_3","Unnamed..6","Unnamed..7"
"130",4,24,"tu'bx pale'","TU","Aguacateco","Guatemala","North America","H S McArthur, Tino","Ken Merrifield","Ken Merrifield","Aguacatec_DAT_new.txt","new"
"131",5,1,"ayyagda","6","Amarakaeri","Peru","South America","*","*","*","Amarakaeri_DAT_new.txt","new"
"132",5,2,"burada","2","Amarakaeri","Peru","South America","*","*","*","Amarakaeri_DAT_new.txt","new"
"133",5,3,"huabedda","4","Amarakaeri","Peru","South America","*","*","*","Amarakaeri_DAT_new.txt","new"
"134",5,4,"jeida","5","Amarakaeri","Peru","South America","*","*","*","Amarakaeri_DAT_new.txt","new"
"135",5,5,"keregda","9","Amarakaeri","Peru","South America","*","*","*","Amarakaeri_DAT_new.txt","new"
"136",5,6,"kihueyda","7","Amarakaeri","Peru","South America","*","*","*","Amarakaeri_DAT_new.txt","new"
"137",5,7,"paroda","8","Amarakaeri","Peru","South America","*","*","*","Amarakaeri_DAT_new.txt","new"
"138",5,8,"sikda","1","Amarakaeri","Peru","South America","*","*","*","Amarakaeri_DAT_new.txt","new"
"139",5,9,"yereda","3","Amarakaeri","Peru","South America","*","*","*","Amarakaeri_DAT_new.txt","new"
"140",6,1,"halojo","HA","Ampeeli","Papua New Guinea","Oceania","E. West","Jason Patent","*","Ampeeli_DAT_new.txt","new"
"141",6,2,"sikwo'mno","SI","Ampeeli","Papua New Guinea","Oceania","E. West","Jason Patent","*","Ampeeli_DAT_new.txt","new"
"142",6,3,"yamo'nohino","YA","Ampeeli","Papua New Guinea","Oceania","E. West","Jason Patent","*","Ampeeli_DAT_new.txt","new"
"143",6,4,"sajo","SA","Ampeeli","Papua New Guinea","Oceania","E. West","Jason Patent","*","Ampeeli_DAT_new.txt","new"
"144",6,5,"moiho","MO","Ampeeli","Papua New Guinea","Oceania","E. West","Jason Patent","*","Ampeeli_DAT_new.txt","new"
"145",6,6,"honijwo","HN","Ampeeli","Papua New Guinea","Oceania","E. West","Jason Patent","*","Ampeeli_DAT_new.txt","new"
